frequency,bandwidth
157.7875,0.0125
157.8,0.0125
157.8125,0.0125
157.825,0.0125
157.85,0.0125
157.875,0.0125
157.8875,0.0125
157.9,0.0125
157.9125,0.0125
157.925,0.0125
157.9375,0.0125
157.95,0.0125
157.9625,0.0125
157.975,0.0125
157.9875,0.0125
158.0,0.0125
158.0125,0.0125
158.025,0.0125
158.0375,0.0125
158.05,0.0125
158.0625,0.0125
158.075,0.0125
158.1,0.0125
158.1125,0.0125
158.1375,0.0125
158.15,0.0125
158.1625,0.0125
158.175,0.0125
158.1875,0.0125
158.2125,0.0125
158.225,0.0125
158.2375,0.0125
158.25,0.0125
158.2625,0.0125
158.275,0.0125
158.2875,0.0125
158.3,0.0125
158.3125,0.0125
158.3375,0.0125
158.35,0.0125
158.3625,0.0125
158.375,0.0125
158.3875,0.0125
158.4,0.0125
158.4125,0.0125
158.425,0.0125
158.4375,0.0125
158.45,0.0125
158.4625,0.0125
158.4875,0.0125
158.5,0.0125
158.525,0.0125
158.5375,0.0125
158.5875,0.0125
158.6,0.0125
158.625,0.0125
158.65,0.0125
158.6625,0.0125
158.675,0.0125
158.6875,0.0125
158.725,0.0125
158.7375,0.0125
158.75,0.0125
158.7625,0.0125
158.775,0.0125
158.8,0.0125
158.8125,0.0125
158.8375,0.0125
158.85,0.0125
158.875,0.0125
158.9125,0.0125
158.95,0.0125
158.9625,0.0125
158.975,0.0125
159.0,0.0125
159.0125,0.0125
159.025,0.0125
159.0375,0.0125
159.0625,0.0125
159.075,0.0125
159.1,0.0125
159.1125,0.0125
159.125,0.0125
159.1375,0.0125
159.1625,0.0125
159.175,0.0125
159.2,0.0125
159.2125,0.0125
159.225,0.0125
159.2375,0.0125
159.2625,0.0125
159.275,0.0125
159.2875,0.0125
159.3375,0.0125
159.35,0.0125
159.3625,0.0125
159.375,0.0125
159.4125,0.0125
159.45,0.0125
159.4625,0.0125
159.4875,0.0125
159.5,0.0125
159.55,0.0125
159.575,0.0125
159.5875,0.0125
159.65,0.0125
159.6625,0.0125
159.675,0.0125
159.7125,0.0125
159.725,0.0125
159.75,0.0125
159.775,0.0125
159.8,0.0125
159.8375,0.0125
159.85,0.0125
159.875,0.0125
159.8875,0.0125
159.9,0.0125
159.9125,0.0125
159.925,0.0125
159.9375,0.0125
159.9625,0.0125
159.975,0.0125
159.9875,0.0125
160.0,0.0125
160.0125,0.0125
160.025,0.0125
160.0375,0.0125
160.05,0.0125
160.0625,0.0125
160.075,0.0125
160.0875,0.0125
160.1,0.0125
160.1125,0.0125
160.125,0.0125
160.1375,0.0125
160.15,0.0125
160.1625,0.0125
160.175,0.0125
160.1875,0.0125
160.2,0.0125
160.2125,0.0125
160.225,0.0125
160.2375,0.0125
160.25,0.0125
160.275,0.0125
160.2875,0.0125
160.3,0.0125
160.3125,0.0125
160.325,0.0125
160.3375,0.0125
160.35,0.0125
160.3625,0.0125
160.375,0.0125
160.3875,0.0125
160.4,0.0125
160.4125,0.0125
160.425,0.0125
160.4375,0.0125
160.45,0.0125
160.4625,0.0125
160.475,0.0125
160.4875,0.0125
160.5,0.0125
160.525,0.0125
160.5375,0.0125
160.55,0.0125
160.5625,0.0125
160.575,0.0125
160.5875,0.0125
160.6,0.0125
160.6125,0.0125
160.625,0.0125
160.6375,0.0125
160.675,0.0125
160.6875,0.0125
160.7,0.0125
160.75,0.0125
160.7625,0.0125
160.7875,0.0125
160.8125,0.0125
160.825,0.0125
160.85,0.0125
160.8625,0.0125
160.8875,0.0125
160.9125,0.0125
160.925,0.0125
160.9375,0.0125
160.9875,0.0125
161.0,0.0125
161.025,0.0125
161.0375,0.0125
161.05,0.0125
161.0625,0.0125
161.075,0.0125
161.0875,0.0125
161.1,0.0125
161.1125,0.0125
161.125,0.0125
161.1375,0.0125
161.15,0.0125
161.1625,0.0125
161.175,0.0125
161.1875,0.0125
161.2,0.0125
161.2125,0.0125
161.225,0.0125
161.2625,0.0125
161.275,0.0125
161.2875,0.0125
161.3,0.0125
161.3125,0.0125
161.325,0.0125
161.3375,0.0125
161.35,0.0125
161.3625,0.0125
161.3875,0.0125
161.4125,0.0125
161.425,0.0125
161.4375,0.0125
161.45,0.0125
161.4625,0.0125
161.475,0.0125
161.5,0.0125
161.5125,0.0125
161.55,0.0125
161.575,0.0125
161.6,0.0125
161.625,0.0125
161.675,0.0125
161.7625,0.0125
161.7875,0.0125
161.8125,0.0125
161.825,0.0125
161.8375,0.0125
161.9125,0.0125
161.925,0.0125
161.95,0.0125
161.9625,0.0125
162.025,0.0125
162.0375,0.0125
162.075,0.0125
162.1,0.0125
162.1125,0.0125
162.125,0.0125
162.1375,0.0125
162.15,0.0125
162.175,0.0125
162.2125,0.0125
162.225,0.0125
162.25,0.0125
162.275,0.0125
162.2875,0.0125
162.3,0.0125
162.325,0.0125
162.35,0.0125
162.3625,0.0125
162.375,0.0125
162.4125,0.0125
162.45,0.0125
162.4625,0.0125
162.475,0.0125
162.4875,0.0125
162.5,0.0125
162.525,0.0125
162.55,0.0125
162.575,0.0125
162.5875,0.0125
162.625,0.0125
162.6375,0.0125
162.6625,0.0125
162.7375,0.0125
162.75,0.0125
162.8125,0.0125
162.825,0.0125
162.8375,0.0125
162.85,0.0125
162.9,0.0125
162.9375,0.0125
162.9875,0.0125
163.0,0.0125
163.0125,0.0125
163.025,0.0125
163.0375,0.0125
163.05,0.0125
163.0625,0.0125
163.075,0.0125
163.1,0.0125
163.1125,0.0125
163.125,0.0125
163.1375,0.0125
163.1625,0.0125
163.175,0.0125
163.1875,0.0125
163.2,0.0125
163.2125,0.0125
163.225,0.0125
163.2375,0.0125
163.25,0.0125
163.275,0.0125
163.2875,0.0125
163.3,0.0125
163.3125,0.0125
163.325,0.0125
163.3375,0.0125
163.35,0.0125
163.3625,0.0125
163.375,0.0125
163.3875,0.0125
163.4,0.0125
163.4125,0.0125
163.425,0.0125
163.45,0.0125
163.4625,0.0125
163.475,0.0125
163.4875,0.0125
163.5,0.0125
163.525,0.0125
163.5375,0.0125
163.55,0.0125
163.5625,0.0125
163.575,0.0125
163.5875,0.0125
163.6,0.0125
163.6125,0.0125
163.7,0.0125
163.725,0.0125
163.7375,0.0125
163.75,0.0125
163.7625,0.0125
163.8,0.0125
163.825,0.0125
163.8375,0.0125
163.85,0.0125
163.875,0.0125
163.9,0.0125
163.9125,0.0125
163.925,0.0125
163.9375,0.0125
163.9625,0.0125
163.975,0.0125
163.9875,0.0125
164.0,0.0125
164.025,0.0125
164.05,0.0125
164.0625,0.0125
164.075,0.0125
164.0875,0.0125
164.1,0.0125
164.1125,0.0125
164.125,0.0125
164.1375,0.0125
164.15,0.0125
164.1625,0.0125
164.175,0.0125
164.1875,0.0125
164.2,0.0125
164.2125,0.0125
164.225,0.0125
164.25,0.0125
164.2625,0.0125
164.275,0.0125
164.2875,0.0125
164.3,0.0125
164.3125,0.0125
164.325,0.0125
164.3375,0.0125
164.35,0.0125
164.3625,0.0125
164.375,0.0125
164.3875,0.0125
164.4125,0.0125
164.425,0.0125
164.4375,0.0125
164.475,0.0125
164.4875,0.0125
164.5,0.0125
164.55,0.0125
164.575,0.0125
164.7,0.0125
164.75,0.0125
164.8125,0.0125
164.825,0.0125
164.8375,0.0125
164.9125,0.0125
164.925,0.0125
164.95,0.0125
164.9625,0.0125
164.975,0.0125
164.9875,0.0125
165.0125,0.0125
165.0375,0.0125
165.05,0.0125
165.075,0.0125
165.0875,0.0125
165.1,0.0125
165.125,0.0125
165.15,0.0125
165.1625,0.0125
165.1875,0.0125
165.225,0.0125
165.25,0.0125
165.2875,0.0125
165.3125,0.0125
165.35,0.0125
165.4,0.0125
165.4125,0.0125
165.45,0.0125
165.4875,0.0125
165.525,0.0125
165.55,0.0125
165.5625,0.0125
165.575,0.0125
165.625,0.0125
165.65,0.0125
165.6625,0.0125
165.7,0.0125
165.7125,0.0125
165.75,0.0125
165.775,0.0125
165.7875,0.0125
165.8,0.0125
165.85,0.0125
165.8625,0.0125
165.9,0.0125
165.9375,0.0125
165.95,0.0125
165.9875,0.0125
166.0,0.0125
166.0125,0.0125
166.025,0.0125
166.0375,0.0125
166.05,0.0125
166.0625,0.0125
166.075,0.0125
166.0875,0.0125
166.1,0.0125
166.1125,0.0125
166.125,0.0125
166.1375,0.0125
166.15,0.0125
166.1625,0.0125
166.175,0.0125
166.1875,0.0125
166.2,0.0125
166.225,0.0125
166.25,0.0125
166.2625,0.0125
