Freq_Hz,Amplitude_dB
-5.299902000000000000e+06,-8.444853210000012211e+01
-5.279902000000000000e+06,-8.028003082000013535e+01
-5.259902000000000000e+06,-9.864154968000001134e+01
-5.239902000000000000e+06,-8.155160216999979639e+01
-5.219902000000000000e+06,-8.930296783000002847e+01
-5.199902000000000000e+06,-9.644996796000003769e+01
-5.179902000000000000e+06,-9.256598511000005658e+01
-5.159902000000000000e+06,-9.406809539999996161e+01
-5.139902000000000000e+06,-9.568578339000004007e+01
-5.119902000000000000e+06,-9.496760864000012248e+01
-5.099902000000000000e+06,-9.410448456000007411e+01
-5.079902000000000000e+06,-9.689288483000012775e+01
-5.059902000000000000e+06,-9.791350249999977962e+01
-5.039902000000000000e+06,-9.814372406000002513e+01
-5.019902000000000000e+06,-8.825584564000013188e+01
-4.999902000000000000e+06,-9.332942505000011124e+01
-4.979902000000000000e+06,-9.378371735000001763e+01
-4.959902000000000000e+06,-9.490841674999987276e+01
-4.939902000000000000e+06,-7.963408507999993446e+01
-4.919902000000000000e+06,-8.603602448000013680e+01
-4.899902000000000000e+06,-9.591785430999998141e+01
-4.879902000000000000e+06,-9.039896850999986100e+01
-4.859902000000000000e+06,-9.670433960000008256e+01
-4.839902000000000000e+06,-9.658498839999994345e+01
-4.819902000000000000e+06,-9.843596190999979001e+01
-4.799902000000000000e+06,-9.154036101999997754e+01
-4.779902000000000000e+06,-9.781098480000018469e+01
-4.759902000000000000e+06,-9.783600463999999874e+01
-4.739902000000000000e+06,-9.758398589999998762e+01
-4.719902000000000000e+06,-1.006022217000001575e+02
-4.699902000000000000e+06,-9.556118163999981618e+01
-4.679902000000000000e+06,-9.600952148000015995e+01
-4.659902000000000000e+06,-9.821816100999984656e+01
-4.639902000000000000e+06,-9.647520142000013266e+01
-4.619902000000000000e+06,-9.746820220999994433e+01
-4.599902000000000000e+06,-7.864371184999987463e+01
-4.579902000000000000e+06,-7.190169983000011200e+01
-4.559902000000000000e+06,-8.928240204000013591e+01
-4.539902000000000000e+06,-9.573751984000026027e+01
-4.519902000000000000e+06,-9.855666655999995385e+01
-4.499902000000000000e+06,-1.015595412999998928e+02
-4.479902000000000000e+06,-1.001097397000000058e+02
-4.459902000000000000e+06,-9.617798156999997161e+01
-4.439902000000000000e+06,-9.673805695000008598e+01
-4.419902000000000000e+06,-9.592334137000015915e+01
-4.399902000000000000e+06,-9.742029723999989699e+01
-4.379902000000000000e+06,-9.466654510000003597e+01
-4.359902000000000000e+06,-9.728046112000006929e+01
-4.339902000000000000e+06,-9.765949707000001467e+01
-4.319902000000000000e+06,-9.529508972000003553e+01
-4.299902000000000000e+06,-9.710248413000024925e+01
-4.279902000000000000e+06,-1.007139435000000987e+02
-4.259902000000000000e+06,-9.493069610999995689e+01
-4.239902000000000000e+06,-7.340211791999992386e+01
-4.219902000000000000e+06,-7.702702026000018520e+01
