Frecuencia (Hz),PSD
-9140625.000000,-100.441820799867983
-9135742.187500,-100.450369306147053
-9130859.375000,-100.496511120332144
-9125976.562500,-100.520622142139686
-9121093.750000,-100.554980363145631
-9116210.937500,-100.613536353064902
-9111328.125000,-100.508137871959562
-9106445.312500,-100.483919669508097
-9101562.500000,-100.525446912971290
-9096679.687500,-100.511897105920156
-9091796.875000,-100.553712528386086
-9086914.062500,-100.502626043028997
-9082031.250000,-100.484814047073456
-9077148.437500,-100.500652245058404
-9072265.625000,-100.529069794436325
-9067382.812500,-100.499217647456703
-9062500.000000,-100.487614581430108
-9057617.187500,-100.468297386345228
-9052734.375000,-100.498250070417626
-9047851.562500,-100.493656847582557
-9042968.750000,-100.564116987046106
-9038085.937500,-100.527576846795640
-9033203.125000,-100.485263317954974
-9028320.312500,-100.577256324594117
-9023437.500000,-100.520620313946836
-9018554.687500,-100.430844671443268
-9013671.875000,-100.483806044673329
-9008789.062500,-100.583747080978597
-9003906.250000,-100.559927447086778
-8999023.437500,-100.457719787373705
-8994140.625000,-100.437528790992616
-8989257.812500,-100.459982572614621
-8984375.000000,-100.516292535492582
-8979492.187500,-100.467788633782448
-8974609.375000,-100.457679087586172
-8969726.562500,-100.607497868480337
-8964843.750000,-100.546895468191877
-8959960.937500,-100.428429623369283
-8955078.125000,-100.460885971280632
-8950195.312500,-100.460990392175972
-8945312.500000,-100.486331268648826
-8940429.687500,-100.559071103753226
-8935546.875000,-100.557382071251581
-8930664.062500,-100.560875894424441
-8925781.250000,-100.542123714099020
-8920898.437500,-100.507804598344478
-8916015.625000,-100.479771896589725
-8911132.812500,-100.540439632800627
-8906250.000000,-100.516412646309291
-8901367.187500,-100.469671340777069
-8896484.375000,-100.580783969904815
-8891601.562500,-100.537231572829143
-8886718.750000,-100.544269783352263
-8881835.937500,-100.452732470400875
-8876953.125000,-100.473173367436971
-8872070.312500,-100.551077288140220
-8867187.500000,-100.554856086611082
-8862304.687500,-100.562704507935891
-8857421.875000,-100.536865029036932
-8852539.062500,-100.545987851392496
-8847656.250000,-100.520066330010593
-8842773.437500,-100.549544255358200
-8837890.625000,-100.563969444615225
-8833007.812500,-100.621106550234714
-8828125.000000,-100.581797550391258
-8823242.187500,-100.527588454513960
-8818359.375000,-100.534284098226891
-8813476.562500,-100.597245120839531
-8808593.750000,-100.605421701335217
-8803710.937500,-100.589852080649109
-8798828.125000,-100.561125900794593
-8793945.312500,-100.530097568687268
-8789062.500000,-100.488257040742738
-8784179.687500,-100.556433677772247
-8779296.875000,-100.603221762419963
-8774414.062500,-100.493866324179407
-8769531.250000,-100.477860614898646
-8764648.437500,-100.533263164919546
-8759765.625000,-100.542141847257824
-8754882.812500,-100.558370594071178
-8750000.000000,-100.574097990035710
-8745117.187500,-100.550986408588571
-8740234.375000,-100.522599318698951
-8735351.562500,-100.507655893964042
-8730468.750000,-100.541693900610682
-8725585.937500,-100.543055085729009
-8720703.125000,-100.521648893774952
-8715820.312500,-100.616880915709942
-8710937.500000,-100.581583534804210
-8706054.687500,-100.595605279406499
-8701171.875000,-100.511072918934360
-8696289.062500,-100.495190882701152
-8691406.250000,-100.536668048847986
-8686523.437500,-100.497393757870853
-8681640.625000,-100.527586682192265
-8676757.812500,-100.505297411465079
-8671875.000000,-100.578709940802440
-8666992.187500,-100.592818796281733
-8662109.375000,-100.658885297967359
-8657226.562500,-100.588429072133323
-8652343.750000,-100.600403502052302
-8647460.937500,-100.584684487417519
-8642578.125000,-100.573752243940717
-8637695.312500,-100.555633290323073
-8632812.500000,-100.603871825855322
-8627929.687500,-100.645128070118815
-8623046.875000,-100.634728991234667
-8618164.062500,-100.593344899280737
-8613281.250000,-100.599696334875688
-8608398.437500,-100.574353886575977
-8603515.625000,-100.576580524622642
-8598632.812500,-100.572529003927485
-8593750.000000,-100.485086017924459
-8588867.187500,-100.521804530094954
-8583984.375000,-100.509891136051678
-8579101.562500,-100.550456437524488
-8574218.750000,-100.576746258599528
-8569335.937500,-100.602794644495091
-8564453.125000,-100.610196546864358
-8559570.312500,-100.562440542924435
-8554687.500000,-100.584287429270148
-8549804.687500,-100.704985492388076
-8544921.875000,-100.678017170731550
-8540039.062500,-100.621825841890399
-8535156.250000,-100.568084543148387
-8530273.437500,-100.555710606552424
-8525390.625000,-100.503185522089893
-8520507.812500,-100.566335829219042
-8515625.000000,-100.600496835152853
-8510742.187500,-100.550597278252440
-8505859.375000,-100.551374347407943
-8500976.562500,-100.555285956637377
-8496093.750000,-100.545761605315249
-8491210.937500,-100.528511462289245
-8486328.125000,-100.619905420780142
-8481445.312500,-100.673568298904016
-8476562.500000,-100.587470763830225
-8471679.687500,-100.563336744789083
-8466796.875000,-100.561967228146926
-8461914.062500,-100.611649741759678
-8457031.250000,-100.646362462620289
-8452148.437500,-100.541184354834797
-8447265.625000,-100.527514405452109
-8442382.812500,-100.566267679452167
-8437500.000000,-100.615183752339050
-8432617.187500,-100.580334098544824
-8427734.375000,-100.566575512919556
-8422851.562500,-100.508210868362056
-8417968.750000,-100.522159866337773
-8413085.937500,-100.480197945628632
-8408203.125000,-100.606575527926267
-8403320.312500,-100.622023499994086
-8398437.500000,-100.608932456015125
-8393554.687500,-100.622370414511622
-8388671.875000,-100.605140725125295
-8383789.062500,-100.576720107463018
-8378906.250000,-100.589764088253418
-8374023.437500,-100.552515191724638
-8369140.625000,-100.594943796324941
-8364257.812500,-100.574641479286996
-8359375.000000,-100.527561543782127
-8354492.187500,-100.537776442716634
-8349609.375000,-100.553964217461470
-8344726.562500,-100.572763078344849
-8339843.750000,-100.636266806713593
-8334960.937500,-100.545349958560820
-8330078.125000,-100.563202673187035
-8325195.312500,-100.561015625788613
-8320312.500000,-100.528500996951337
-8315429.687500,-100.531657292481952
-8310546.875000,-100.544083777444314
-8305664.062500,-100.538619424443127
-8300781.250000,-100.590761104464846
-8295898.437500,-100.618586063659293
-8291015.625000,-100.516676620795494
-8286132.812500,-100.557384765075881
-8281250.000000,-100.626386384565407
-8276367.187500,-100.548339513975137
-8271484.375000,-100.553925309921055
-8266601.562500,-100.479416648623612
-8261718.750000,-100.515756341184442
-8256835.937500,-100.424504618582588
-8251953.125000,-100.470516742991265
-8247070.312500,-100.455897393826476
-8242187.500000,-100.343410774623877
-8237304.687500,-100.330193370094150
-8232421.875000,-100.432949599087721
-8227539.062500,-100.275130364466577
-8222656.250000,-100.245970853694587
-8217773.437500,-100.402524419985895
-8212890.625000,-100.331918635526165
-8208007.812500,-100.443536683200989
-8203125.000000,-100.477717724628604
-8198242.187500,-100.375088905094088
-8193359.375000,-100.454427242854194
-8188476.562500,-100.495189833524080
-8183593.750000,-100.395362497761198
-8178710.937500,-100.290258352040013
-8173828.125000,-99.345313502081410
-8168945.312500,-99.431698854750408
-8164062.500000,-100.301073686677626
-8159179.687500,-100.242758781033984
-8154296.875000,-100.310753790957662
-8149414.062500,-100.299347336951456
-8144531.250000,-100.236570340951246
-8139648.437500,-100.218567575417680
-8134765.625000,-100.048654723054995
-8129882.812500,-99.520797520982228
-8125000.000000,-99.892498491898067
-8120117.187500,-99.486881085832778
-8115234.375000,-99.461740699879840
-8110351.562500,-100.026754112151622
-8105468.750000,-99.900148025715225
-8100585.937500,-99.792625366330697
-8095703.125000,-99.771354824561328
-8090820.312500,-99.486340763636235
-8085937.500000,-99.075774700193648
-8081054.687500,-98.332693247697762
-8076171.875000,-94.772370785954436
-8071289.062500,-97.450664437071183
-8066406.250000,-98.806249282256701
-8061523.437500,-98.537960626738510
-8056640.625000,-99.169267259023272
-8051757.812500,-99.191323727656965
-8046875.000000,-99.095881275388450
-8041992.187500,-99.029752213938380
-8037109.375000,-98.749806513220591
-8032226.562500,-98.193319067794420
-8027343.750000,-93.407988644134278
-8022460.937500,-84.379061702836893
-8017578.125000,-88.726353261718870
-8012695.312500,-98.388586004813249
-8007812.500000,-98.376386422126117
-8002929.687500,-98.958716900329833
-7998046.875000,-98.967894087512533
-7993164.062500,-99.350045415583111
-7988281.250000,-99.186381990477642
-7983398.437500,-99.114143011663913
-7978515.625000,-99.085475880919063
-7973632.812500,-94.056648598152009
-7968750.000000,-84.251910274674074
-7963867.187500,-87.873819519181012
-7958984.375000,-98.835995696724609
-7954101.562500,-99.189335433761386
-7949218.750000,-99.430881704948803
-7944335.937500,-99.542196082153424
-7939453.125000,-99.523165725215165
-7934570.312500,-99.261069485389129
-7929687.500000,-98.962487821156287
-7924804.687500,-98.769861976113503
-7919921.875000,-98.624276585951222
-7915039.062500,-98.827241453202802
-7910156.250000,-98.569167243625884
-7905273.437500,-99.076584618570422
-7900390.625000,-99.254226696896311
-7895507.812500,-99.624280561331403
-7890625.000000,-99.790206783567214
-7885742.187500,-99.912701842873304
-7880859.375000,-100.058557777754956
-7875976.562500,-99.506151309147697
-7871093.750000,-98.138157174022439
-7866210.937500,-99.881579582111840
-7861328.125000,-100.237150411971015
-7856445.312500,-100.327871545156611
-7851562.500000,-100.457019196972141
-7846679.687500,-100.469611924514169
-7841796.875000,-100.499308671517738
-7836914.062500,-100.486258695370623
-7832031.250000,-100.445806022287599
-7827148.437500,-100.505271319920695
-7822265.625000,-100.540618800273890
-7817382.812500,-100.478079392424874
-7812500.000000,-100.502633058381562
-7807617.187500,-100.515672375810553
-7802734.375000,-100.620292442020101
-7797851.562500,-100.608916438740152
-7792968.750000,-100.601352873556849
-7788085.937500,-100.516183681679877
-7783203.125000,-100.492687949954814
-7778320.312500,-100.481571954246704
-7773437.500000,-100.498766113447076
-7768554.687500,-100.482415964534397
-7763671.875000,-100.499544721566011
-7758789.062500,-100.474686023887870
-7753906.250000,-100.503148677191732
-7749023.437500,-100.597677648617449
-7744140.625000,-100.631210393997534
-7739257.812500,-100.627981897671432
-7734375.000000,-100.528843158562196
-7729492.187500,-100.514414630720111
-7724609.375000,-100.612741003005638
-7719726.562500,-100.653326416335091
-7714843.750000,-100.594164249059446
-7709960.937500,-100.662032334502115
-7705078.125000,-100.598869285768075
-7700195.312500,-100.564434257104011
-7695312.500000,-100.573156780945965
-7690429.687500,-100.599261156300841
-7685546.875000,-100.624802220650366
-7680664.062500,-100.531014205554513
-7675781.250000,-100.609837250794754
-7670898.437500,-100.621781168709788
-7666015.625000,-100.597396893604810
-7661132.812500,-100.559527203163015
-7656250.000000,-100.542260922719748
-7651367.187500,-100.552083730034553
-7646484.375000,-100.562953329209890
-7641601.562500,-100.623616684102316
-7636718.750000,-100.573255028382135
-7631835.937500,-100.564118550865089
-7626953.125000,-100.583539524262321
-7622070.312500,-100.652766238844279
-7617187.500000,-100.543632014625473
-7612304.687500,-100.544384633658993
-7607421.875000,-100.672998180411525
-7602539.062500,-100.637980663449440
-7597656.250000,-100.592398196406180
-7592773.437500,-100.614032031672380
-7587890.625000,-100.562391106774811
-7583007.812500,-100.519571835124026
-7578125.000000,-100.615757495858205
-7573242.187500,-100.631794424067294
-7568359.375000,-100.593436686249078
-7563476.562500,-100.544985916414319
-7558593.750000,-100.630159812782125
-7553710.937500,-100.606110522079206
-7548828.125000,-100.519339956651578
-7543945.312500,-100.545447539349411
-7539062.500000,-100.544144604545835
-7534179.687500,-100.555972860084722
-7529296.875000,-100.589232505159316
-7524414.062500,-100.564758003821282
-7519531.250000,-100.548286213354828
