Frequency (Hz),PSD (dBfs)
352850000.0,-81.12067
352860000.0,-81.09334
352870000.0,-81.09089
352880000.0,-81.083176
352890000.0,-81.08994
352900000.0,-81.11496
352910000.0,-81.12825
352920000.0,-81.08715
352930000.0,-81.092384
352940000.0,-81.11101
352950000.0,-81.055115
352960000.0,-81.059814
352970000.0,-81.15142
352980000.0,-81.17438
352990000.0,-81.12061
353000000.0,-81.10096
353010000.0,-81.07503
353020000.0,-81.0833
353030000.0,-81.02309
353040000.0,-81.01005
353050000.0,-81.1151
353060000.0,-81.10558
353070000.0,-81.1761
353080000.0,-81.12164
353090000.0,-81.084854
353100000.0,-81.06301
353110000.0,-81.1232
353120000.0,-81.126366
353130000.0,-81.13888
353140000.0,-81.104164
353150000.0,-81.106094
353160000.0,-81.0933
353170000.0,-81.07693
353180000.0,-81.12686
353190000.0,-81.11145
353200000.0,-81.08738
353210000.0,-81.06838
353220000.0,-81.08997
353230000.0,-81.09149
353240000.0,-81.07013
353250000.0,-81.11409
353260000.0,-81.15047
353270000.0,-81.13464
353280000.0,-81.1518
353290000.0,-81.17148
353300000.0,-81.10861
353310000.0,-81.04335
353320000.0,-81.093445
353330000.0,-81.11841
353340000.0,-81.12824
353350000.0,-81.13211
353360000.0,-81.13719
353370000.0,-81.138336
353380000.0,-81.1183
353390000.0,-81.085464
353400000.0,-81.06507
353410000.0,-81.109535
353420000.0,-81.1655
353430000.0,-81.11968
353440000.0,-81.09502
353450000.0,-81.11171
353460000.0,-81.15114
353470000.0,-81.13319
353480000.0,-81.15733
353490000.0,-81.16858
353500000.0,-81.13045
353510000.0,-81.11432
353520000.0,-81.10388
353530000.0,-81.10922
353540000.0,-81.11343
353550000.0,-81.16533
353560000.0,-81.12771
353570000.0,-81.15248
353580000.0,-81.14411
353590000.0,-81.12692
353600000.0,-81.16561
353610000.0,-81.16144
353620000.0,-81.122025
353630000.0,-81.11102
353640000.0,-81.09749
353650000.0,-81.1143
353660000.0,-81.17708
353670000.0,-81.15246
353680000.0,-81.13742
353690000.0,-81.14532
353700000.0,-81.16607
353710000.0,-81.19339
353720000.0,-81.14585
353730000.0,-81.12802
353740000.0,-81.15012
353750000.0,-81.1254
353760000.0,-81.12388
353770000.0,-81.11749
353780000.0,-81.06289
353790000.0,-81.08817
353800000.0,-81.11
353810000.0,-81.09181
353820000.0,-81.112595
353830000.0,-81.12647
353840000.0,-81.14258
353850000.0,-81.131805
353860000.0,-81.072784
353870000.0,-81.079636
353880000.0,-81.11764
353890000.0,-81.133156
353900000.0,-81.124695
353910000.0,-81.11759
353920000.0,-81.14456
353930000.0,-81.13659
353940000.0,-81.07475
353950000.0,-81.09166
353960000.0,-81.12831
353970000.0,-81.09086
353980000.0,-81.13273
353990000.0,-81.07498
354000000.0,-80.984955
354010000.0,-81.05289
354020000.0,-81.08615
354030000.0,-81.12098
354040000.0,-81.12442
354050000.0,-81.12123
354060000.0,-81.11062
354070000.0,-81.113556
354080000.0,-81.080414
354090000.0,-81.0974
354100000.0,-81.12363
354110000.0,-81.143456
354120000.0,-81.174126
354130000.0,-81.193436
354140000.0,-81.11798
354150000.0,-81.13465
354160000.0,-81.12627
354170000.0,-81.09887
354180000.0,-81.1138
354190000.0,-81.14165
354200000.0,-81.15044
354210000.0,-81.12962
354220000.0,-81.1169
354230000.0,-81.16494
354240000.0,-81.200195
354250000.0,-81.12329
354260000.0,-81.1163
354270000.0,-81.16992
354280000.0,-81.148224
354290000.0,-81.14206
354300000.0,-81.17189
354310000.0,-81.14218
354320000.0,-81.13945
354330000.0,-81.12195
354340000.0,-81.13476
354350000.0,-81.12218
354360000.0,-81.12308
354370000.0,-81.1624
354380000.0,-81.10268
354390000.0,-81.1288
354400000.0,-81.15513
354410000.0,-81.117935
354420000.0,-81.14686
354430000.0,-81.16492
354440000.0,-81.14418
354450000.0,-81.07838
354460000.0,-81.110085
354470000.0,-81.14874
354480000.0,-81.14279
354490000.0,-81.15223
354500000.0,-81.13041
354510000.0,-81.10208
354520000.0,-81.09603
354530000.0,-81.098625
354540000.0,-81.10923
354550000.0,-81.09901
354560000.0,-81.132195
354570000.0,-81.12087
354580000.0,-81.12367
354590000.0,-81.16446
